Stock_Date,Stock_Index_Change,Stock_Percent_Change,Stock_Open,Stock_Highest,Stock_Lowest,Stock_Closed,Stock_AVG,Stock_Adjusted_Closed,Stock_Volume,Stock_Company_Code
02/08/2022,-0.10,-0.40,25.00,25.05,24.70,24.90,24.85,24.90,3591300,ACB
01/08/2022,+0.40,+1.63,24.65,25.00,24.50,25.00,24.77,25.00,4455500,ACB
29/07/2022,+0.15,+0.61,24.55,24.70,24.45,24.60,24.59,24.60,5438100,ACB
28/07/2022,+0.25,+1.03,24.70,24.70,24.40,24.45,24.56,24.45,3347500,ACB
27/07/2022,+0.15,+0.62,24.00,24.20,23.95,24.20,24.11,24.20,890000,ACB
26/07/2022,0.00 , 0.00,24.00,24.25,24.00,24.05,24.13,24.05,1902900,ACB
25/07/2022,-0.30,-1.23,24.20,24.40,23.90,24.05,24.17,24.05,1850700,ACB
22/07/2022,-0.30,-1.22,24.65,24.80,24.35,24.35,24.60,24.35,2178431,ACB
21/07/2022,+0.35,+1.44,24.30,24.90,24.20,24.65,24.60,24.65,4313000,ACB
20/07/2022,+0.40,+1.67,24.10,24.35,23.90,24.30,24.15,24.30,3089300,ACB
19/07/2022,0.00 , 0.00,23.90,23.95,23.80,23.90,23.86,23.90,1507000,ACB
18/07/2022,-0.10,-0.42,24.10,24.20,23.90,23.90,24.02,23.90,2425000,ACB
15/07/2022,-0.05,-0.21,24.25,24.45,24.00,24.00,24.21,24.00,3396600,ACB
14/07/2022,+0.05,+0.21,23.80,24.15,23.80,24.05,24.06,24.05,2029400,ACB
13/07/2022,0.00 , 0.00,24.00,24.40,23.80,24.00,24.05,24.00,2126200,ACB
12/07/2022,+0.50,+2.13,23.60,24.00,23.50,24.00,23.74,24.00,758000,ACB
11/07/2022,-0.50,-2.08,23.85,24.00,23.50,23.50,23.70,23.50,1634700,ACB
08/07/2022,-0.15,-0.62,24.20,24.40,24.00,24.00,24.14,24.00,2176000,ACB
07/07/2022,-0.05,-0.21,24.30,24.50,24.10,24.15,24.27,24.15,2496700,ACB
06/07/2022,-0.25,-1.02,24.40,24.50,23.60,24.20,24.20,24.20,2017800,ACB
05/07/2022,+0.20,+0.82,24.45,24.60,24.25,24.45,24.48,24.45,3707000,ACB
04/07/2022,+0.20,+0.83,24.40,24.50,24.00,24.25,24.21,24.25,2143900,ACB
01/07/2022,+0.05,+0.21,23.85,24.05,23.50,24.05,23.78,24.05,1851900,ACB
30/06/2022,-0.20,-0.83,24.50,24.50,23.95,24.00,24.18,24.00,2088400,ACB
29/06/2022,-0.30,-1.22,24.20,24.50,24.00,24.20,24.30,24.20,2660600,ACB
28/06/2022,+0.55,+2.30,23.80,24.80,23.70,24.50,24.17,24.50,2995800,ACB
27/06/2022,+0.15,+0.63,23.80,24.15,23.65,23.95,23.93,23.95,2447600,ACB
24/06/2022,+0.05,+0.21,23.70,24.00,23.50,23.80,23.77,23.80,1588100,ACB
23/06/2022,0.00 , 0.00,23.40,23.85,23.05,23.75,23.59,23.75,2140900,ACB
22/06/2022,+0.75,+3.26,23.20,23.90,23.20,23.75,23.61,23.75,2782000,ACB
21/06/2022,+0.10,+0.44,22.50,23.20,22.50,23.00,22.98,23.00,4426500,ACB
20/06/2022,-0.20,-0.87,23.10,23.50,22.80,22.90,23.04,22.90,3956000,ACB
17/06/2022,-1.00,-4.15,23.50,23.85,22.85,23.10,23.14,23.10,3460900,ACB
16/06/2022,+0.50,+2.12,23.60,24.10,23.60,24.10,23.92,24.10,1925600,ACB
15/06/2022,-0.50,-2.07,24.45,24.50,23.10,23.60,23.63,23.60,3633100,ACB
14/06/2022,+0.20,+0.84,23.90,24.45,23.50,24.10,23.96,24.10,2049600,ACB
13/06/2022,-1.30,-5.16,25.00,25.00,23.80,23.90,24.29,23.90,3830300,ACB
10/06/2022,-0.55,-2.14,25.20,25.80,25.15,25.20,25.42,25.20,2278300,ACB
09/06/2022,+0.05,+0.19,25.80,25.90,25.05,25.75,25.74,25.75,3388400,ACB
08/06/2022,+0.75,+3.01,24.90,25.70,24.65,25.70,25.22,25.70,4494800,ACB
07/06/2022,-0.35,-1.38,25.30,25.30,24.30,24.95,24.71,24.95,2255000,ACB
06/06/2022,0.00 , 0.00,25.30,25.55,25.20,25.30,25.41,25.30,1698800,ACB
03/06/2022,-0.05,-0.20,25.50,25.60,24.90,25.30,25.25,25.30,1409500,ACB
02/06/2022,+0.45,+1.81,25.60,25.95,25.35,25.35,25.69,25.35,3745600,ACB
01/06/2022,-0.45,-1.43,31.80,31.80,31.10,31.10,31.44,24.88,3523400,ACB
31/05/2022,-0.40,-1.25,31.70,31.80,31.50,31.55,31.62,25.24,2348500,ACB
30/05/2022,+0.15,+0.47,32.00,32.00,31.50,31.95,31.78,25.56,2244200,ACB
27/05/2022,+1.45,+4.78,30.80,31.80,30.60,31.80,31.39,25.44,4910800,ACB
26/05/2022,+0.35,+1.17,30.40,30.50,30.00,30.35,30.30,24.28,2690700,ACB
25/05/2022,+1.20,+4.17,28.80,30.00,28.80,30.00,29.53,24.00,3815600,ACB
24/05/2022,+0.35,+1.23,28.80,28.80,28.15,28.80,28.52,23.04,1574100,ACB
23/05/2022,-0.60,-2.07,29.10,29.30,28.30,28.45,28.76,22.76,1256800,ACB
20/05/2022,+0.45,+1.57,28.60,29.30,28.60,29.05,28.94,23.24,1936000,ACB
19/05/2022,-0.35,-1.21,28.40,29.00,28.10,28.60,28.66,22.88,5423275,ACB
18/05/2022,-0.30,-1.03,29.70,29.75,28.80,28.95,29.14,23.16,3521100,ACB
17/05/2022,+1.65,+5.98,27.60,29.35,27.50,29.25,28.39,23.40,2617900,ACB
16/05/2022,+0.10,+0.36,27.65,28.70,27.50,27.60,28.26,22.08,5137600,ACB
13/05/2022,-2.00,-6.78,29.90,30.30,27.50,27.50,28.98,22.00,6442600,ACB
12/05/2022,-2.10,-6.65,30.70,31.25,29.50,29.50,30.35,23.60,3461900,ACB
11/05/2022,+0.80,+2.60,30.80,31.60,30.60,31.60,31.04,25.28,2319300,ACB
10/05/2022,+0.20,+0.65,30.30,31.00,29.90,30.80,30.63,24.64,4888500,ACB
09/05/2022,-0.40,-1.29,31.00,31.00,29.70,30.60,30.42,24.48,5176200,ACB
06/05/2022,-0.70,-2.21,31.20,31.80,30.85,31.00,31.20,24.80,3655300,ACB
05/05/2022,-0.05,-0.16,32.30,32.30,31.30,31.70,31.77,25.36,3503200,ACB
04/05/2022,-0.95,-2.91,32.25,32.50,31.75,31.75,31.99,25.40,2660200,ACB
29/04/2022,+1.70,+5.48,31.00,32.70,30.75,32.70,32.09,26.16,4660900,ACB
28/04/2022,+0.10,+0.32,30.60,31.20,30.60,31.00,30.97,24.80,1568200,ACB
27/04/2022,0.00 , 0.00,30.70,31.20,30.30,30.90,30.60,24.72,2831800,ACB
26/04/2022,+0.40,+1.31,30.50,31.25,30.00,30.90,30.57,24.72,6106000,ACB
25/04/2022,-1.80,-5.57,32.30,32.45,30.50,30.50,31.74,24.40,9502659,ACB
22/04/2022,+0.80,+2.54,31.70,32.60,31.70,32.30,32.40,25.84,5488800,ACB
21/04/2022,-0.40,-1.25,32.00,32.50,31.50,31.50,31.96,25.20,5899800,ACB
20/04/2022,+0.25,+0.79,31.70,32.20,31.65,31.90,31.97,25.52,4560500,ACB
19/04/2022,-1.15,-3.51,32.60,32.80,31.60,31.65,32.35,25.32,5544400,ACB
18/04/2022,-0.75,-2.24,33.50,33.60,32.80,32.80,33.06,26.24,6485500,ACB
15/04/2022,-0.25,-0.74,33.80,34.00,33.45,33.55,33.73,26.84,5388100,ACB
14/04/2022,+0.15,+0.45,33.65,34.15,33.60,33.80,33.88,27.04,5421600,ACB
13/04/2022,+0.20,+0.60,33.50,33.85,33.30,33.65,33.67,26.92,5232400,ACB
12/04/2022,-0.40,-1.18,33.85,33.85,33.35,33.45,33.62,26.76,5223200,ACB
08/04/2022,+0.25,+0.74,33.70,34.00,33.65,33.85,33.87,27.08,8904400,ACB
07/04/2022,+0.40,+1.20,33.40,34.15,33.25,33.60,33.76,26.88,9677900,ACB
06/04/2022,+0.20,+0.61,32.85,33.30,32.75,33.20,33.13,26.56,4156600,ACB
05/04/2022,-0.50,-1.49,33.40,33.40,32.95,33.00,33.19,26.40,4808400,ACB
04/04/2022,+0.10,+0.30,33.60,33.70,33.40,33.50,33.46,26.80,5238850,ACB
01/04/2022,+0.35,+1.06,33.05,33.40,33.00,33.40,33.17,26.72,6515500,ACB
31/03/2022,+0.45,+1.38,32.70,33.20,32.60,33.05,32.96,26.44,5523400,ACB
30/03/2022,+0.25,+0.77,32.40,32.90,32.30,32.60,32.65,26.08,4892100,ACB
29/03/2022,0.00 , 0.00,32.45,32.65,32.30,32.35,32.42,25.88,4590641,ACB
28/03/2022,-0.35,-1.07,32.70,32.80,32.30,32.35,32.45,25.88,9075500,ACB
25/03/2022,-0.20,-0.61,32.90,33.15,32.70,32.70,32.82,26.16,5480359,ACB
24/03/2022,-0.30,-0.90,33.05,33.20,32.85,32.90,33.01,26.32,3240900,ACB
23/03/2022,-0.10,-0.30,33.20,33.40,33.15,33.20,33.25,26.56,7176525,ACB
22/03/2022,+0.35,+1.06,33.00,33.40,33.00,33.30,33.20,26.64,5581400,ACB
21/03/2022,+0.15,+0.46,32.90,33.00,32.70,32.95,32.83,26.36,5404400,ACB
18/03/2022,0.00 , 0.00,33.00,33.10,32.80,32.80,32.91,26.24,6013400,ACB
17/03/2022,0.00 , 0.00,33.15,33.20,32.80,32.80,32.95,26.24,3662400,ACB
16/03/2022,0.00 , 0.00,32.90,33.05,32.65,32.80,32.79,26.24,3539400,ACB
15/03/2022,+0.10,+0.31,32.80,33.15,32.70,32.80,32.94,26.24,4036400,ACB
14/03/2022,0.00 , 0.00,32.50,32.80,32.45,32.70,32.61,26.16,4380000,ACB
11/03/2022,-0.20,-0.61,32.80,32.95,32.60,32.70,32.76,26.16,3160100,ACB
10/03/2022,+0.20,+0.61,33.00,33.40,32.90,32.90,33.07,26.32,2801800,ACB
09/03/2022,+0.10,+0.31,32.75,32.95,32.40,32.70,32.61,26.16,4172000,ACB
08/03/2022,-0.65,-1.95,33.00,33.20,32.55,32.60,32.86,26.08,7342900,ACB
07/03/2022,-1.05,-3.06,33.50,33.80,33.15,33.25,33.39,26.60,4694500,ACB
04/03/2022,+0.85,+2.54,33.40,34.30,33.00,34.30,33.56,27.44,6925100,ACB
03/03/2022,+0.55,+1.67,33.00,33.45,32.90,33.45,33.05,26.76,8167100,ACB
02/03/2022,-0.95,-2.81,33.70,34.00,32.90,32.90,33.33,26.32,13981600,ACB
01/03/2022,-0.05,-0.15,34.00,34.00,33.55,33.85,33.81,27.08,5908400,ACB
28/02/2022,-0.45,-1.31,34.30,34.35,33.90,33.90,34.07,27.12,5273425,ACB
25/02/2022,-0.10,-0.29,34.50,34.75,34.30,34.35,34.49,27.48,6365900,ACB
24/02/2022,-0.15,-0.43,34.35,34.60,33.45,34.45,34.05,27.56,9190200,ACB
23/02/2022,-0.10,-0.29,34.80,35.10,34.60,34.60,34.78,27.68,7056600,ACB
22/02/2022,+0.30,+0.87,34.00,34.70,33.60,34.70,34.04,27.76,8630200,ACB
21/02/2022,+0.55,+1.62,33.90,34.40,33.55,34.40,33.86,27.52,8887900,ACB
18/02/2022,-0.45,-1.31,34.10,34.25,33.70,33.85,33.98,27.08,11392400,ACB
17/02/2022,+0.10,+0.29,34.15,34.45,34.10,34.30,34.25,27.44,4748600,ACB
16/02/2022,-0.30,-0.87,34.70,34.70,34.00,34.20,34.22,27.36,5526300,ACB
15/02/2022,+0.50,+1.47,34.05,34.50,34.00,34.50,34.24,27.60,11543900,ACB
14/02/2022,-1.70,-4.76,35.40,35.60,34.00,34.00,34.91,27.20,13828200,ACB
11/02/2022,+0.15,+0.42,35.30,36.35,35.25,35.70,35.72,28.56,9923200,ACB
10/02/2022,-0.05,-0.14,35.60,35.80,35.35,35.55,35.55,28.44,15011820,ACB
09/02/2022,-0.15,-0.42,35.90,35.95,35.50,35.60,35.71,28.48,11641700,ACB
08/02/2022,+1.05,+3.03,34.70,36.00,34.70,35.75,35.70,28.60,32689200,ACB
07/02/2022,+0.15,+0.43,35.00,35.15,34.65,34.70,34.89,27.76,5506156,ACB
28/01/2022,-0.35,-1.00,34.90,35.00,34.40,34.55,34.65,27.64,18783100,ACB
27/01/2022,-0.55,-1.55,35.40,35.40,34.55,34.90,34.95,27.92,6839400,ACB
26/01/2022,+0.60,+1.72,35.00,35.95,35.00,35.45,35.56,28.36,8494500,ACB
25/01/2022,+0.50,+1.46,34.35,35.05,34.35,34.85,34.71,27.88,4587700,ACB
24/01/2022,+0.90,+2.69,33.50,34.90,33.50,34.35,34.53,27.48,14138700,ACB
21/01/2022,+0.50,+1.52,32.95,34.00,32.90,33.45,33.46,26.76,14121000,ACB
20/01/2022,-0.05,-0.15,33.00,33.15,32.70,32.95,32.92,26.36,4120900,ACB
19/01/2022,+0.20,+0.61,32.80,33.30,32.80,33.00,33.05,26.40,3250200,ACB
18/01/2022,+0.05,+0.15,32.75,33.05,32.30,32.80,32.78,26.24,5189600,ACB
17/01/2022,-0.30,-0.91,33.10,33.65,32.75,32.75,33.02,26.20,16934050,ACB
14/01/2022,-0.30,-0.90,33.35,33.45,33.00,33.05,33.20,26.44,3493000,ACB
13/01/2022,+0.25,+0.76,33.65,34.25,33.15,33.35,33.64,26.68,7671800,ACB
12/01/2022,+0.35,+1.07,32.70,33.55,32.55,33.10,32.78,26.48,9146271,ACB
11/01/2022,-0.25,-0.76,33.00,33.05,32.70,32.75,32.87,26.20,8011500,ACB
10/01/2022,-0.30,-0.90,33.00,33.40,32.95,33.00,33.12,26.40,9055100,ACB
07/01/2022,-0.45,-1.33,33.90,33.95,33.30,33.30,33.58,26.64,9895200,ACB
06/01/2022,+0.05,+0.15,33.50,34.00,33.10,33.75,33.47,27.00,7482700,ACB
05/01/2022,-0.70,-2.03,34.35,34.35,33.65,33.70,33.90,26.96,6839700,ACB
04/01/2022,-0.10,-0.29,34.80,34.80,34.25,34.40,34.43,27.52,5403400,ACB
